alg,fitness
AM-LSCH,-2.66707
AM-LSCH,-2.80396
DE,-2.80359
DE,-2.73955
DE,-2.73408
DE,-2.67161
DE,-2.75851
DE,-2.74246
DE,-2.73287
DE,-2.71851
DE,-2.7093
DE,-2.69206
DE,-2.6777
DE,-2.73145
DE,-2.77494
DE,-2.67019
DE,-2.70802
DE,-2.76483
DE,-2.68872
DE,-2.75709
DE,-2.7149
DE,-2.64786
DE,-2.644
DE,-2.69197
DE,-2.85327
DE,-2.69025
DE,-2.77902
DE,-2.69714
DE,-2.71559
DE,-2.69536
DE,-2.68032
DE,-2.71785
DE,-2.74395
DE,-2.74215
DE,-2.75341
DE,-2.74478
DE,-2.65755
DE,-2.67089
DE,-2.73037
DE,-2.70007
DE,-2.69656
DE,-2.74963
DE,-2.71143
DE,-2.74666
DE,-2.79447
DE,-2.68288
DE,-2.72952
DE,-2.65734
DE,-2.72636
DE,-2.64507
DE,-2.68869
DE,-2.69717
