alg,fitness
AGG-ARIT,-3.18277
AGG-ARIT,-3.09867
AGG-ARIT,-3.15913
AGG-ARIT,-3.1463
AGG-ARIT,-3.0899
AGG-BLX,-2.85958
AGG-BLX,-2.90828
AGG-BLX,-2.84448
AGG-BLX,-2.89686
AGG-BLX,-2.86611
AGG-BLX,-2.83053
AGG-BLX,-2.86125
AGG-BLX,-2.90475
AGG-BLX,-2.86103
AGG-BLX,-2.90706
AGG-BLX,-2.89302
AGG-BLX,-2.9115
AGG-BLX,-2.91361
AGG-BLX,-2.88101
AGG-BLX,-2.90364
AGG-BLX,-2.90848
AGG-BLX,-2.89813
AGG-BLX,-2.90476
AGG-BLX,-2.88032
AGG-BLX,-2.91633
AGG-BLX,-2.87662
AGG-BLX,-2.85742
AGG-BLX,-2.93325
AGG-BLX,-2.83979
AGG-BLX,-2.86206
AGG-BLX,-2.9877
AGG-BLX,-2.88488
AGG-BLX,-2.88299
AGG-BLX,-2.90033
AGG-BLX,-2.92733
AGG-BLX,-2.90954
AGG-BLX,-2.88612
AGG-BLX,-2.88166
AGG-BLX,-2.86216
AGG-BLX,-2.90014
AGG-BLX,-2.88902
AGG-BLX,-2.90125
AGG-BLX,-2.87386
AGG-BLX,-2.89484
AGG-BLX,-2.84872
AGG-BLX,-2.89192
AGG-BLX,-2.9007
AGG-BLX,-2.91736
AGG-BLX,-2.88585
AGG-BLX,-2.8862
AGG-BLX,-2.93755
AGG-BLX,-2.90602
AGG-BLX,-2.85483
AGG-BLX,-2.90705
AGG-BLX,-2.88717
AGE-ARIT,-3.22481
AGE-ARIT,-3.20114
AGE-ARIT,-3.10984
AGE-ARIT,-3.19062
AGE-ARIT,-3.23473
AGE-ARIT,-3.17381
AGE-ARIT,-3.24683
AGE-ARIT,-3.23247
AGE-ARIT,-3.18986
AGE-ARIT,-3.18785
AGE-ARIT,-3.18109
AGE-ARIT,-3.14112
AGE-ARIT,-3.17995
AGE-ARIT,-3.12346
AGE-ARIT,-3.23491
AGE-ARIT,-3.20464
AGE-ARIT,-3.16651
AGE-ARIT,-3.15103
AGE-ARIT,-3.18767
AGE-ARIT,-3.22218
AGE-ARIT,-3.18284
AGE-ARIT,-3.19837
AGE-ARIT,-3.12673
AGE-ARIT,-3.23733
AGE-ARIT,-3.14432
AGE-ARIT,-3.27753
AGE-ARIT,-3.19387
AGE-ARIT,-3.06764
AGE-ARIT,-3.13452
AGE-ARIT,-3.2396
AGE-ARIT,-3.20153
AGE-ARIT,-3.24389
AGE-ARIT,-3.07704
AGE-ARIT,-3.17436
AGE-ARIT,-3.11666
AGE-ARIT,-3.14415
AGE-ARIT,-3.16427
AGE-ARIT,-3.13245
AGE-ARIT,-3.20395
AGE-ARIT,-3.26403
AGE-ARIT,-3.24854
AGE-ARIT,-3.2186
AGE-ARIT,-3.21199
AGE-ARIT,-3.17403
AGE-ARIT,-3.21058
AGE-ARIT,-3.2083
AGE-ARIT,-3.17672
AGE-ARIT,-3.18953
AGE-ARIT,-3.15529
AGE-ARIT,-3.17358
AGE-BLX,-3.00484
AGE-BLX,-2.91253
AGE-BLX,-2.94346
AGE-BLX,-3.01844
AGE-BLX,-2.95223
AGE-BLX,-2.96605
AGE-BLX,-2.94281
AGE-BLX,-2.97586
AGE-BLX,-2.97095
AGE-BLX,-2.99949
AGE-BLX,-2.98577
AGE-BLX,-2.96978
AGE-BLX,-2.95335
AGE-BLX,-2.91017
AGE-BLX,-2.96449
AGE-BLX,-2.96881
AGE-BLX,-2.96136
AGE-BLX,-3.05307
AGE-BLX,-2.97941
AGE-BLX,-2.99001
AGE-BLX,-2.94403
AGE-BLX,-2.95905
AGE-BLX,-2.97592
AGE-BLX,-2.98965
AGE-BLX,-2.93364
AGE-BLX,-2.98161
AGE-BLX,-2.93618
AGE-BLX,-2.92765
AGE-BLX,-2.94085
AGE-BLX,-3.07339
AGE-BLX,-3.0167
AGE-BLX,-2.9963
AGE-BLX,-2.91519
AGE-BLX,-2.94249
AGE-BLX,-2.94955
AGE-BLX,-2.98285
AGE-BLX,-2.98091
AGE-BLX,-2.96234
AGE-BLX,-2.95413
AGE-BLX,-2.98723
AGE-BLX,-2.94132
AGE-BLX,-3.07701
AGE-BLX,-2.95585
AGE-BLX,-2.96077
AGE-BLX,-2.9939
AGE-BLX,-2.95031
AGE-BLX,-3.02261
AGE-BLX,-2.97263
AGE-BLX,-2.90614
AGE-BLX,-3.02846
AM-ALL,-3.06344
AM-ALL,-3.09518
AM-ALL,-3.08975
AM-ALL,-3.1668
AM-ALL,-3.07762
AM-ALL,-3.11839
AM-ALL,-3.11492
AM-ALL,-3.12237
AM-ALL,-3.10162
AM-ALL,-3.07642
AM-ALL,-3.14619
AM-ALL,-3.07812
AM-ALL,-3.12825
AM-ALL,-3.08445
AM-ALL,-3.09853
AM-ALL,-3.12512
AM-ALL,-3.12772
